feature,mi
late_rate,0.039963778889067214
total_late_counts,0.037721053671932125
any_late,0.030725075690352766
perc_premium_paid_by_cash_credit,0.02540398912573094
Count_6-12_months_late,0.02402473773511482
Count_3-6_months_late,0.022293532789235293
Count_more_than_12_months_late,0.016199498638910015
residence_area_type,0.012282850344202512
age_in_days,0.005774927329754709
age_years,0.004052249122053153
application_underwriting_score,0.0033017249496334333
no_of_premiums_paid,0.0027736845852268655
premium,0.0019005335467714435
income_log,0.0017963500990532122
sourcing_channel,0.0016605280438348746
Income,0.001624877828072302
premium_to_income,0.0
high_underwriting_flag,0.0
