precision,recall,threshold
0.9375650364203955,1.0,0.0
0.9376260162601626,1.0,0.01
0.937739899811333,0.9998612652608213,0.02
0.9378538426498341,0.9997225305216426,0.03
0.938147014779608,0.9995144284128746,0.04
0.9382490880667014,0.9991675915649278,0.05
0.9390005219206681,0.9984045504994451,0.06
0.9392138939670932,0.9978496115427303,0.07
0.9401033152422678,0.9972946725860156,0.08
0.9408450704225352,0.9962541620421753,0.09
0.9417399291431571,0.9956992230854605,0.1
0.942611096502761,0.9946587125416204,0.11
0.9437158109800303,0.9932713651498335,0.12
0.9444995044598612,0.9916065482796892,0.13
0.9454160042395336,0.9900110987791343,0.14
0.94652228791603,0.98834628190899,0.15
0.9471371504660453,0.9868201997780244,0.16
0.9481803005008347,0.9849472807991121,0.17
0.9491264475533837,0.9835599334073252,0.18
0.9500671140939597,0.9819644839067703,0.19
0.9512260846133118,0.9794672586015538,0.2
0.9518308336711255,0.9773168701442841,0.21
0.9530105777054516,0.9749583795782464,0.22
0.9542763829352929,0.972877358490566,0.23
0.9550883898709985,0.970657602663707,0.24
0.9561583778599808,0.9682297447280799,0.25
0.9569249793899423,0.9662180910099889,0.26
0.9578076525336091,0.9637208657047724,0.27
0.9584947426674045,0.9611542730299667,0.28
0.9593721786235155,0.9582408435072142,0.29
0.9600474131920235,0.9551193118756937,0.3
0.9605935465808078,0.9519977802441731,0.31
0.9608848314606742,0.94915371809101,0.32
0.9616877160798701,0.9454772475027747,0.33
0.9630601247872944,0.9422169811320755,0.34
0.9639903023388476,0.9377774694783574,0.35
0.9646569646569647,0.9334073251942286,0.36
0.9650374855824683,0.9286209766925638,0.37
0.9656121045392022,0.9252219755826859,0.38
0.966295406566208,0.9207824639289678,0.39
0.9670643343336017,0.9165510543840177,0.4
0.9678394925130929,0.910169256381798,0.41
0.9690239191799138,0.9048973362930077,0.42
0.9693908097590181,0.898515538290788,0.43
0.9700919089950278,0.8932436182019978,0.44
0.9703495867141883,0.8876248612652609,0.45
0.9708715596330275,0.8808962264150944,0.46
0.9712346726305237,0.8736126526082131,0.47
0.9718463213563541,0.8668146503884573,0.48
0.9722854675355265,0.8590455049944506,0.49
0.9725984002534253,0.8519006659267481,0.5
0.9728282586110445,0.8444089900110988,0.51
0.973369916074887,0.8367092119866815,0.52
0.9740662208448866,0.8285238623751388,0.53
0.9745553359683794,0.8209628190899001,0.54
0.9749979164930411,0.8115288568257492,0.55
0.975229589687421,0.8029273029966704,0.56
0.9763672041634672,0.7938401775804661,0.57
0.977009507346586,0.7841287458379578,0.58
0.977296633941094,0.7733768035516093,0.59
0.9774041455386532,0.7621392896781354,0.6
0.9778218535881716,0.7523584905660378,0.61
0.9782429838193619,0.7423002219755827,0.62
0.9785912882298424,0.7324500554938956,0.63
0.979223465262762,0.7225305216426193,0.64
0.9801724137931035,0.7098362930077692,0.65
0.9806307183180845,0.6988762486126526,0.66
0.9813510564428132,0.6862513873473918,0.67
0.9819173653904435,0.6742508324084351,0.68
0.9826221079691517,0.6628745837957825,0.69
0.9833333333333333,0.6507352941176471,0.7
0.9836363636363636,0.6379716981132075,0.71
0.9843801201529219,0.6251387347391787,0.72
0.9852332475668419,0.6109184239733629,0.73
0.9856766357281999,0.5966981132075472,0.74
0.9860082304526749,0.5817147613762487,0.75
0.9863625392227854,0.5669395116537181,0.76
0.9872129112352576,0.5516093229744728,0.77
0.9877222151170226,0.5357241953385128,0.78
0.988469184890656,0.5173418423973363,0.79
0.9891379073284752,0.49902885682574916,0.8
0.9895639742673338,0.4801609322974473,0.81
0.9904818560380726,0.46198668146503885,0.82
0.9906396255850234,0.4404827968923418,0.83
0.99101894186806,0.4209905660377358,0.84
0.9910821471445721,0.40087402885682577,0.85
0.9919985451900345,0.3783990011098779,0.86
0.9925795743018941,0.35259433962264153,0.87
0.9923744969286168,0.3249861265260821,0.88
0.9925719591457753,0.29661487236403994,0.89
0.992299794661191,0.2681742508324084,0.9
0.9933371958285052,0.2378607103218646,0.91
0.9947489333770922,0.21025249722530523,0.92
0.9950589129608514,0.18160377358490565,0.93
0.994579945799458,0.15274694783573806,0.94
0.9950276243093923,0.12493063263041065,0.95
0.9941944847605225,0.09503329633740289,0.96
0.9927234927234927,0.06624583795782464,0.97
0.9936406995230525,0.043354605993340734,0.98
0.991044776119403,0.023029966703662596,0.99
1.0,0.007838512763596005,1.0
1.0,0.0,
